"Grant","Organization Name","Focus Area","Amount","Date"
"Movement Alliance Project — Prosecutor Accountability (March 2020)","Movement Alliance Project","Criminal Justice Reform","$180,000","3/2020"
"Broad Institute — COVID-19 Diagnostic Testing (Stacey Gabriel)","Broad Institute","Scientific Research","$925,000","3/2020"
"Against COVID-19 — COVID-19 Database Support","Against COVID-19","Biosecurity and Pandemic Preparedness","$10,000","3/2020"
"UC Davis — Research on Antiviral Drugs (Koen Van Rompay)","UC Davis","Scientific Research","$206,613","3/2020"
"Johns Hopkins University — Support for Jared Kaplan and Brice Ménard","Johns Hopkins University","Potential Risks from Advanced Artificial Intelligence","$55,000","3/2020"
"Court Watch NOLA — Coalition Coordination (2020)","Court Watch NOLA","Criminal Justice Reform","$35,000","3/2020"
"Georgetown Center for Global Health Science and Security — General Support (March 2020)","Georgetown Center for Global Health Science and Security","Biosecurity and Pandemic Preparedness","$2,400,000","3/2020"
"Broad Institute — Pandemic Preemption System (Pardis Sabeti and Christian Happi)","Broad Institute","Scientific Research","$1,000,000","3/2020"
"Just Outcomes — Restorative Justice Convenings and Affinity Group Meetings","Just Outcomes","Criminal Justice Reform","$30,000","3/2020"
"Good Judgment Inc. — COVID-19 Forecasting","Good Judgment Inc.","Biosecurity and Pandemic Preparedness","$75,500","3/2020"
"Center for Global Development — COVID-19 Local Response Guidelines","Center for Global Development","Biosecurity and Pandemic Preparedness","$250,000","3/2020"
"UC Berkeley — Deworming and Cash Transfers (2020)","UC Berkeley","Global Health & Development","$88,000","3/2020"
"Council on Strategic Risks — Biological Weapons Prevention (March 2020)","Council on Strategic Risks","Biosecurity and Pandemic Preparedness","$410,000","3/2020"
"ReFrame — ReFrame Academy"," ReFrame","Criminal Justice Reform","$31,500","3/2020"
"Alianima — General Support","Alianima","Farm Animal Welfare","$130,000","3/2020"
"Safety and Justice Oregon — General Support","Safety and Justice Oregon ","Criminal Justice Reform","$200,000","3/2020"
"Stanford University — Infant Immunome Study (Mark Davis, Justin Sonnenburg, and Bali Pulendran)","Stanford University ","Scientific Research","$8,293,676","3/2020"
"Study and Training Related to AI Policy Careers — Scholarship Support","Study and Training Related to AI Policy Careers","Potential Risks from Advanced Artificial Intelligence","","3/2020"
"Center for Global Development — Migration Program (2020)","Center for Global Development","Immigration Policy","$1,000,000","3/2020"
"Brighter Green — Farm Animal Welfare Advocacy (2020)","Brighter Green","Farm Animal Welfare","$340,000","3/2020"
"International Society for Applied Ethology — Advance Farm Animal Welfare Science in Developing Nations (2020)","International Society for Applied Ethology","Farm Animal Welfare","$229,830","3/2020"
"Royal Society for the Prevention of Cruelty to Animals — Broiler Chicken Welfare Outreach","Royal Society for the Prevention of Cruelty to Animals","Farm Animal Welfare","$425,000","3/2020"
"Centre for Effective Altruism — Support for Jade Leung","Centre for Effective Altruism","Other areas","$180,000","2/2020"
"Bipartisan Commission on Biodefense — General Support","Bipartisan Commission on Biodefense","Biosecurity and Pandemic Preparedness","$2,970,000","2/2020"
"Nuclear Threat Initiative — Biosecurity Program Support (February 2020)","Nuclear Threat Initiative","Biosecurity and Pandemic Preparedness","$8,000,000","2/2020"
"San Francisco Rising — Prosecutor Accountability","San Francisco Rising","Criminal Justice Reform","$50,000","2/2020"
"Run, George, Run — General Support (February 2020)","Run, George, Run","Criminal Justice Reform","$30,000","2/2020"
"Soko Tierschutz — Factory Farm Investigations (2020)","Soko Tierschutz","Farm Animal Welfare","$297,291","2/2020"
"Wilson Center — AI Policy Seminar Series (February 2020)","The Wilson Center","Potential Risks from Advanced Artificial Intelligence","$368,440","2/2020"
"Johns Hopkins Center for Health Security — Masters and PhD Program Support","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","$1,860,000","2/2020"
"WestExec — Report on Assurance in Machine Learning Systems","WestExec","Potential Risks from Advanced Artificial Intelligence","$540,000","2/2020"
"Stanford University — Coronavirus Drug Research (February 2020) (Jeffrey Glenn)","Stanford University","Scientific Research","$165,000","2/2020"
"UC Davis — Malaria Gene Drive Feasibility Analysis (Greg Lanzaro)","UC Davis","Scientific Research","$1,500,000","2/2020"
"University of Oxford — New Office for Effective Altruism Organizations","University of Oxford ","Other areas","$776,271","2/2020"
"Future of Humanity Institute — New DPhil Positions","Future of Humanity Institute ","Global Catastrophic Risks","$939,263","2/2020"
"Texas Organizing Project PAC — General Support","Texas Organizing Project PAC","Criminal Justice Reform","$100,000","2/2020"
"Machine Intelligence Research Institute — General Support (2020)","Machine Intelligence Research Institute","Potential Risks from Advanced Artificial Intelligence","$7,703,750","2/2020"
"80,000 Hours — General Support (2020)","80,000 Hours","Other areas","$3,457,284","2/2020"
"CDC Foundation — Reproductive Health Data Analysis (Dmitry Kissin)","CDC Foundation","Scientific Research","$662,072","2/2020"
"Malaria Consortium — Seasonal Malaria Chemoprevention Programs (February 2020)","Malaria Consortium","Global Health & Development","$33,926,000","2/2020"
"Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (2020) ","Reform Jails and Community Reinvestment Initiative","Criminal Justice Reform","$300,000","2/2020"
"gui2de — Zusha! Road Safety Campaign (February 2020)","Georgetown University Initiative on Innovation, Development, and Evaluation","Global Health & Development","$100,000","2/2020"
"Commonwealth Veterinary Association — Farm Animal Welfare","Commonwealth Veterinary Association","Farm Animal Welfare","$15,000","2/2020"
"The Leadership Conference on Civil and Human Rights — Federal Criminal Justice Reform Advocacy (February 2020)","The Leadership Conference on Civil and Human Rights","Criminal Justice Reform","$200,000","2/2020"
"Amistad Law Project — General Support (February 2020)","Amistad Law Project","Criminal Justice Reform","$25,000","2/2020"
"Run, George, Run — General Support","Run, George, Run","Criminal Justice Reform","$70,000","2/2020"
"Center for Applied Rationality — General Support (2020)","Center for Applied Rationality","Other areas","$375,000","2/2020"
"Youth and Families Taking Power — General Support","Youth and Families Taking Power","Criminal Justice Reform","$80,000","2/2020"
"Georgetown Center for Global Health Science and Security — General Support (February 2020)","Georgetown Center for Global Health Science and Security","Biosecurity and Pandemic Preparedness","$1,200,000","2/2020"
"Animal Equality — Cage-Free and Broiler Welfare","Animal Equality ","Farm Animal Welfare","$1,901,000","2/2020"
"Dao Foods — Plant-Based Startup Incubator","Dao Foods","Farm Animal Welfare","$215,000","1/2020"
"Centre for Effective Altruism — Support for The Precipice","Center for Effective Altruism ","Other areas","$38,350","1/2020"
"Niskanen Center — Research on Immigration Policy (2020)","Niskanen Center","Immigration Policy","$200,000","1/2020"
"Centre for Effective Altruism — General Support and Community-Building Grants (2020)","Centre for Effective Altruism","Other areas","$4,146,795","1/2020"
"Krystal Caldwell and Sydney Heiss — Farm Animal Welfare Research","","Farm Animal Welfare","$156,781","1/2020"
"Sightsavers — Deworming Programs (January 2020)","Sightsavers","Global Health & Development","$2,710,100","1/2020"
"ActAsia — Reduce Fur Demand in Asia (2020)","ACTAsia","Farm Animal Welfare","$300,000","1/2020"
"Georgetown University — Center on Poverty and Inequality","The Center on Poverty and Inequality","Macroeconomic Stabilization Policy","$50,000","1/2020"
"Stanford University — AI Safety Seminar","Stanford University","Potential Risks from Advanced Artificial Intelligence","$6,500","1/2020"
"Certified Humane — Farm Animal Welfare Certification Work","Certified Humane","Farm Animal Welfare","$210,000","1/2020"
"World Animal Protection — Farm Animal Welfare in Southeast Asia","World Animal Protection","Farm Animal Welfare","$400,000","1/2020"
"Berkeley Existential Risk Initiative — General Support","Berkeley Existential Risk Initiative","Potential Risks from Advanced Artificial Intelligence","$150,000","1/2020"
"Essere Animali — Farm Animal Welfare Work in Italy (2020)","Essere Animali","Farm Animal Welfare","$462,974","1/2020"
"Rethink Priorities — Farm Animal Welfare Research (2020)","Rethink Priorities","Farm Animal Welfare","$910,000","1/2020"
"YIMBY Law — General Support","YIMBY Law","Land Use Reform","$100,000","1/2020"
"RAND Corporation — Research on the State of AI Assurance Methods","The RAND Corporation ","Potential Risks from Advanced Artificial Intelligence","$30,751","1/2020"
"GiveWell — General Support (January 2020)","GiveWell","Global Health & Development","$2,245,570","1/2020"
"University of Missouri — Animal Welfare Research","University of Missouri ","Farm Animal Welfare","$189,000","1/2020"
"Texas Inmate Families Association — General Support (2020)","Texas Inmate Families Association","Criminal Justice Reform","$120,000","1/2020"
"Development Media International — General Support (January 2020)","Development Media International","Global Health & Development","$100,000","1/2020"
"Press Shop — Support for Human Compatible","Press Shop","Potential Risks from Advanced Artificial Intelligence","$17,000","1/2020"
"Animal Charity Evaluators — General Support (2020)","Animal Charity Evaluators","Farm Animal Welfare","$650,000","1/2020"
"Vegan Women Summit — General Support","Vegan Women Summit","Farm Animal Welfare","$5,000","1/2020"
"FAI Farms — Cage-Free Egg Investigation","FAI Farms","Farm Animal Welfare","$105,000","1/2020"
"Ought — General Support (2020)","Ought","Potential Risks from Advanced Artificial Intelligence","$1,593,333","1/2020"
"Center for Welfare Metrics — Impacts of Animal Welfare Reforms (2020) ","Center for Welfare Metrics","Farm Animal Welfare","$784,586","1/2020"
"Environmental & Animal Society of Taiwan — Farm Animal Welfare Campaigns","Environmental & Animal Society of Taiwan","Farm Animal Welfare","$521,000","1/2020"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — Regranting to Promising Projects","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$500,000","1/2020"
"Global Alliance for Improved Nutrition — Universal Salt Iodization (January 2020)","Global Alliance for Improved Nutrition","Global Health & Development","$100,000","1/2020"
"Helen Keller International — Vitamin A Supplementation (January 2020)","Helen Keller International","Global Health & Development","$9,709,000","1/2020"
"A La Defensa — Prosecutor Accountability (2020)","A La Defensa","Criminal Justice Reform","$125,000","1/2020"
"Jason Crawford — The Roots of Progress","Jason Crawford","Other areas","$75,000","1/2020"
"LA Voice — Prosecutor Accountability","LA Voice","Criminal Justice Reform","$150,000","1/2020"
"Living Goods — General Support (January 2020)","Living Goods","Global Health & Development","$100,000","1/2020"
"theguardian.org — Journalism on Factory Farming and Animal Cruelty (2020)","theguardian.org","Farm Animal Welfare","$900,000","1/2020"
"Riverside Justice Table — Prosecutor Accountability","Riverside Justice Table","Criminal Justice Reform","$275,000","12/2019"
"Food Fortification Initiative — General Support (December 2019)","Food Fortification Initiative","Global Health & Development","$100,000","12/2019"
"UC Berkeley — AI Safety Research (2019)","UC Berkeley","Potential Risks from Advanced Artificial Intelligence","$1,111,000","12/2019"
"Charity Science Health — Exit Grant","Charity Science Health","Global Health & Development","$214,425","12/2019"
"Iodine Global Network — General Support (December 2019)","Iodine Global Network","Global Health & Development","$100,000","12/2019"
"The Good Food Institute — International Work ","The Good Food Institute","Farm Animal Welfare","$4,000,000","12/2019"
"Debt Collective — Criminal Justice Reform Work ","The Debt Collective ","Criminal Justice Reform","$75,000","12/2019"
"Impact Justice — Restorative Justice Project (2019)","Impact Justice","Criminal Justice Reform","$4,000,000","12/2019"
"Global Animal Partnership — Farm Animal Welfare Activities (2019)","Global Animal Partnership","Farm Animal Welfare","$1,000,000","12/2019"
"Alliance for Safety and Justice — General Support (2019)","Alliance for Safety and Justice","Criminal Justice Reform","$10,000,000","12/2019"
"Project Healthy Children — General Support (December 2019)","Project Healthy Children","Global Health & Development","$100,000","12/2019"
"Good Films Impact — “Just Mercy” Engagement","Good Films Impact ","Criminal Justice Reform","$125,000","12/2019"
"Evidence Action — Dispensers for Safe Water Program (2019)","Evidence Action","Global Health & Development","$100,000","12/2019"
"GiveDirectly — General Support (December 2019)","GiveDirectly","Global Health & Development","$2,500,000","12/2019"
"Against Malaria Foundation — General Support (December 2019)","Against Malaria Foundation","Global Health & Development","$2,500,000","12/2019"
"The END Fund — General Support (December 2019) ","The END Fund","Global Health & Development","$2,500,000","12/2019"
"Sightline Institute — Housing and Urban Development (December 2019)","Sightline Institute","Land Use Reform","$600,000","12/2019"
"Dezernat Zukunft — Monetary and Fiscal Policy in Europe (2019)","Dezernat Zukunft","Macroeconomic Stabilization Policy","$100,000","12/2019"
"asha bandele — Criminal Justice Books","asha bandele","Criminal Justice Reform","$335,000","12/2019"
"Smart Justice CA — California Criminal Justice Reform Lobbying (2019)","Smart Justice CA","Criminal Justice Reform","$50,000","12/2019"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (December 2019)","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$2,250,000","12/2019"
"WaitList Zero — General Support (2019)"," WaitList Zero","Other areas","$350,000","12/2019"
"Faith in Texas — Justice System Reform (2019)","Faith in Texas ","Criminal Justice Reform","$150,000","12/2019"
"Essie Justice Group — General Support (December 2019)","Essie Justice Group","Criminal Justice Reform","$3,000,000","12/2019"
"Power Coalition for Equity and Justice — Criminal Justice Reform (2019)","Power Coalition for Equity and Justice","Criminal Justice Reform","$25,000","12/2019"
"Broad Institute — Genome Editing Research (Feng Zhang)","Broad Institute","Scientific Research","$2,500,000","12/2019"
"Court Watch NOLA — General Support (2019)","Court Watch NOLA","Criminal Justice Reform","$500,000","12/2019"
"Faith in Action — Live Free Campaign (2019)","Faith in Action","Criminal Justice Reform","$400,000","12/2019"
"Michigan Liberation — Prosecutor Accountability (2019)","Michigan Liberation","Criminal Justice Reform","$165,000","12/2019"
"Stanford University — Global Catastrophic Risk Education","Stanford University","Global Catastrophic Risks","$250,000","12/2019"
"Worth Rises — General Support (2019)","Worth Rises","Criminal Justice Reform","$300,000","12/2019"
"Working Families Organization — Prosecutor Accountability and Criminal Justice Reform ","Working Families Organization","Criminal Justice Reform","$1,440,000","11/2019"
"Griffith University — Farm Animal Welfare Advocacy","Griffith University","Farm Animal Welfare","$100,000","11/2019"
"Ought — General Support (2019)","Ought","Potential Risks from Advanced Artificial Intelligence","$1,000,000","11/2019"
"Washington Center for Equitable Growth — Macroeconomic Policy Research","Washington Center for Equitable Growth","Macroeconomic Stabilization Policy","$750,000","11/2019"
"Center for Popular Democracy — Fed Up Campaign (2019)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$600,000","11/2019"
"UC Berkeley — Center for Human-Compatible AI (2019)","UC Berkeley","Potential Risks from Advanced Artificial Intelligence","$200,000","11/2019"
"Cincinnati Children's Hospital Medical Center — Infant Immunome and Influenza Studies (Mary Staat)","Cincinnati Children’s Hospital Medical Center","Scientific Research","$9,105,777","11/2019"
"A New Way of Life — Community Education and Voter Registration","A New Way of Life","Criminal Justice Reform","$200,000","11/2019"
"The Ahimsa Collective — ""Life Comes From It"" Fund Administration (2019)","The Ahimsa Collective","Criminal Justice Reform","$155,000","11/2019"
"Promise of Justice Initiative — East Baton Rouge Parish Prison Reform Coalition (2019)","Promise of Justice Initiative","Criminal Justice Reform","$170,000","11/2019"
"The Justice Collaborative — General Support (November 2019) ","The Justice Collaborative","Criminal Justice Reform","$600,000","11/2019"
"Movement Voter Project — Student Organizing","Movement Voter Project","Criminal Justice Reform","$100,000","11/2019"
"Just Liberty — General Support (November 2019)","Just Liberty","Criminal Justice Reform","$320,000","11/2019"
"Citizens for Juvenile Justice — General Support (2019)","Citizens for Juvenile Justice ","Criminal Justice Reform","$75,000","11/2019"
"Plant Based Foods Association — Grocery Store Study","Plant Based Foods Association","Farm Animal Welfare","$230,000","11/2019"
"Berkeley Existential Risk Initiative — CHAI Collaboration (2019)","Berkeley Existential Risk Initiative","Potential Risks from Advanced Artificial Intelligence","$705,000","11/2019"
"Ohio Voice — Vision for Ohio Fellowship","Ohio Voice","Criminal Justice Reform","$210,000","11/2019"
"Employ America — General Support (October 2019)","Employ America","Macroeconomic Stabilization Policy","$1,000,000","10/2019"
"The Soze Agency — Right of Return Fellowship (2019)","The Soze Agency ","Criminal Justice Reform","$320,000","10/2019"
"SPCA Selangor — Farm Animal Welfare","SPCA Selangor","Farm Animal Welfare","$134,000","10/2019"
"Real Justice PAC — Criminal Justice Reform (October 2019)","Real Justice PAC","Criminal Justice Reform","$750,000","10/2019"
"Citizen Action of New York — Criminal Justice Reform","Citizen Action of New York","Criminal Justice Reform","$510,000","10/2019"
"Center for Global Development — Impact Evaluation Case Studies","Center for Global Development","Global Health & Development","$100,000","10/2019"
"Humane Society International — African Swine Fever Training","Humane Society International","Farm Animal Welfare","$13,145","10/2019"
"Future of Life Institute — General Support (2019)","Future of Life Institute","Global Catastrophic Risks","$100,000","10/2019"
"Anima International — Chicken Welfare Campaigns","Anima International","Farm Animal Welfare","$1,700,000","10/2019"
"Chicago Community Bond Fund — Support for Coalition to End Money Bond","Chicago Community Bond Fund","Criminal Justice Reform","$170,000","10/2019"
"UC Berkeley — Alternative Meats Lab (October 2019)","UC Berkeley","Farm Animal Welfare","$700,000","10/2019"
"Texas Organizing Project — Criminal Justice Reform (2019)","Texas Organizing Project","Criminal Justice Reform","$4,200,000","10/2019"
"Texas Freedom Network — Texas Rising Program (2019)","Texas Freedom Network","Criminal Justice Reform","$150,000","10/2019"
"Oxford University — Animal Welfare Research","Oxford University","Farm Animal Welfare","$41,800","10/2019"
"New Virginia Majority — Criminal Justice Reform (October 2019)","New Virginia Majority Education Fund","Criminal Justice Reform","$266,000","10/2019"
"American Conservative Union Foundation — Criminal Justice Reform (2019)","American Conservative Union Foundation","Criminal Justice Reform","$225,000","10/2019"
"Royal Society for the Prevention of Cruelty to Animals — Organizational Development","Royal Society for the Prevention of Cruelty to Animals","Farm Animal Welfare","$36,957","10/2019"
"Quest for Democracy Fund — General Support","Quest for Democracy Fund","Criminal Justice Reform","$250,000","10/2019"
"Momentum — Criminal Justice Reform Trainings (2019)","Momentum","Criminal Justice Reform","$25,000","10/2019"
"Reclaim Philadelphia — Judge Accountability Work (2019)","Reclaim Philadelphia","Criminal Justice Reform","$170,000","9/2019"
"Movement for Family Power — General Support","Movement for Family Power","Criminal Justice Reform","$120,000","9/2019"
"Centre for Effective Altruism — General Support and Community-Building Grants (2019)","Centre for Effective Altruism","Other areas","$1,755,921","9/2019"
"Animal Kingdom Foundation — Corporate Campaigns (September 2019)","Animal Kingdom Foundation","Farm Animal Welfare","$220,866","9/2019"
"Plant Based Foods Association — State-Level Policy (2019)","Plant Based Foods Association","Farm Animal Welfare","$625,000","9/2019"
"Run, George, Run — Los Angeles District Attorney Recruitment","Run, George, Run","Criminal Justice Reform","$25,000","9/2019"
"Johns Hopkins Center for Health Security — Biosecurity, Global Health Security, and Global Catastrophic Risks (2019)","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","$19,500,000","9/2019"
"EA Scholarships — Scholarship Support (2019)","EA Scholarships","Other areas","$49,676","9/2019"
"Color Of Change Education Fund — Criminal Justice Reform (2019)","Color Of Change Education Fund","Criminal Justice Reform","$2,500,000","9/2019"
"Free Hearts — Criminal Justice Reform","Free Hearts","Criminal Justice Reform","$150,000","9/2019"
"FAI Farms — Promoting Poultry Welfare and Cage-Free Eggs in China","FAI Farms","Farm Animal Welfare","$132,400","9/2019"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — FreeHer Conference","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$50,000","9/2019"
"Compassion in World Farming — Fish Welfare and Efforts to End Cages","Compassion in World Farming","Farm Animal Welfare","$2,169,429","9/2019"
"Global Food Partners —  General Support ","Global Food Partners","Farm Animal Welfare","$3,514,761","9/2019"
"LatinoJustice — Work to End Mass Incarceration (2019) ","LatinoJustice","Criminal Justice Reform","$400,000","8/2019"
"Dignity and Power Now — JusticeLA Campaign (2019)","Dignity and Power Now","Criminal Justice Reform","$500,000","8/2019"
"International Cooperation Committee of Animal Welfare — Farm Animal Welfare in Asia","International Cooperation Committee of Animal Welfare","Farm Animal Welfare","$1,099,020","8/2019"
"Forward Justice — Criminal Justice Reform Advocacy and Organizing (2019)","Forward Justice","Criminal Justice Reform","$450,000","8/2019"
"Colorado Criminal Justice Reform Coalition — General Support (2019)","Colorado Criminal Justice Reform Coalition","Criminal Justice Reform","$400,000","8/2019"
"Quest for Democracy Fund — Just Mercy","Quest for Democracy Fund","Criminal Justice Reform","$200,000","8/2019"
"The Justice Collaborative — Just Mercy","The Justice Collaborative","Criminal Justice Reform","$300,000","8/2019"
"Crate-Free Illinois — Campaigning Against Gestation Crates (2019)","Crate-Free Illinois","Farm Animal Welfare","$94,720","8/2019"
"Essie Justice Group — General Support (August 2019)","Essie Justice Group","Criminal Justice Reform","$150,000","8/2019"
"The Justice Collaborative — General Support (August 2019)","The Justice Collaborative","Criminal Justice Reform","$7,800,000","8/2019"
"We Got Us Now — Leadership, Training, and Planning Support","We Got Us Now","Criminal Justice Reform","$150,000","8/2019"
"Voters Organized to Educate — General Support (2019)","Voters Organized to Educate","Criminal Justice Reform","$950,000","8/2019"
"Community Justice Exchange — Technical Assistance and Campaign Support","Community Justice Exchange","Criminal Justice Reform","$900,000","8/2019"
"Alliance for Safety and Justice — Campaign Academy","Alliance for Safety and Justice","Criminal Justice Reform","$250,000","8/2019"
"Greater Greater Washington — Housing and Land Use Reform (2019)","Greater Greater Washington","Land Use Reform","$300,000","8/2019"
"Kyushu University — Research on Mammalian Reproduction (Katsuhiko Hayashi)","Kyushu University","Scientific Research","$2,500,000","8/2019"
"World Animal Protection — Broiler Chicken Welfare (August 2019)","World Animal Protection","Farm Animal Welfare","$557,446","8/2019"
"Albert Schweitzer Foundation — General Support (2019)","Albert Schweitzer Foundation","Farm Animal Welfare","$1,600,000","8/2019"
"Project NIA — Transformative Justice Work Led by Mariame Kaba (2019)","Project NIA","Criminal Justice Reform","$165,000","8/2019"
"Court Watch NOLA — Coalition Coordination (2019)","Court Watch NOLA","Criminal Justice Reform","$57,000","8/2019"
"IDinsight — Endline Evaluation of New Incentives RCT","IDinsight","Global Health & Development","$2,105,962","8/2019"
"BlackRoots Alliance — Prosecutorial Accountability (2019)","BlackRoots Alliance","Criminal Justice Reform","$100,000","8/2019"
"Trap Heals — ""Just Mercy"" Engagement","Trap Heals","Criminal Justice Reform","$1,075,000","8/2019"
"The Pollination Project — Global Animal Advocacy Movement (2019)","The Pollination Project","Farm Animal Welfare","$362,000","7/2019"
"California Institute of Technology — Research on Reproductive Biology (Magdalena Zernicka-Goetz)","California Institute of Technology","Scientific Research","$2,000,000","7/2019"
"Mijente — Criminal Justice Reform (2019)","Mijente","Criminal Justice Reform","$250,000","7/2019"
"Group Nine Media – Factory Farming Videos (2019)","Group Nine Media","Farm Animal Welfare","$215,000","7/2019"
"Grassroots Leadership, Inc. — Texas Advocates for Justice Project (2019)","Grassroots Leadership, Inc.","Criminal Justice Reform","$150,000","7/2019"
"Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (July 2019)","Reform Jails and Community Reinvestment Initiative","Criminal Justice Reform","$750,000","7/2019"
"Effective Altruism Foundation — Research and Operations","Effective Altruism Foundation","Other areas","$1,000,000","7/2019"
"Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2019)","Workers Center for Racial Justice","Criminal Justice Reform","$85,000","7/2019"
"Animal Rights Center Japan — Broiler and Layer Hen Campaigns","Animal Rights Center Japan","Farm Animal Welfare","$274,000","7/2019"
"The People’s Lobby Education Institute — Work on Prosecutorial Accountability in Chicago (2019)","The People's Lobby Education Institute ","Criminal Justice Reform","$150,000","7/2019"
"InMyWords — General Support","InMyWords","Criminal Justice Reform","$21,500","7/2019"
"Sankalpa — Farm Animal Welfare Workshop","Sankalpa","Farm Animal Welfare","$22,000","7/2019"
"Mercy For Animals — Corporate Campaigns (2019)","Mercy For Animals","Farm Animal Welfare","$6,638,000","7/2019"
"Plant-Based Meat Startups — Bootcamps in China","Plant-Based Meat Startups","Farm Animal Welfare","$92,000","7/2019"
"European Summer Program on Rationality — General Support ","European Summer Program on Rationality","Other areas","$510,000","7/2019"
"University of Southern California — Social Science Genetic Association Consortium (July 2019)","University of Southern California","Scientific Research","$2,250,000","7/2019"
"Justice Strategies — Criminal Justice Reform","Justice Strategies","Criminal Justice Reform","$75,000","7/2019"
"Project Peanut Butter — Ready-to-Use Therapeutic Food RCT (2019)","Project Peanut Butter","Scientific Research","$484,785","7/2019"
"Eurogroup for Animals — European Union Trade Strategy ","Eurogroup for Animals","Farm Animal Welfare","$700,000","7/2019"
"Humane Society International India — Animal Welfare Reform (2019)","Humane Society International India","Farm Animal Welfare","$1,039,124","6/2019"
"Durham for All — Fellowship Program","Durham for All","Criminal Justice Reform","$50,000","6/2019"
"Sightline Institute — YIMBYtown (2019)","Sightline Institute","Land Use Reform","$50,000","6/2019"
"Sentient Media — Digital Content Optimization Work","Sentient Media","Farm Animal Welfare","$100,000","6/2019"
"Center for Global Development — General Support (2019)","Center for Global Development","Global Health & Development","$3,000,000","6/2019"
"New Virginia Majority Education Fund — Criminal Justice Reform (June 2019)","New Virginia Majority Education Fund","Criminal Justice Reform","$200,000","6/2019"
"Mass Liberation Project — General Support (2019)","Mass Liberation Project","Criminal Justice Reform","$600,000","6/2019"
"The Ordinary People Society — General Support (2019)","The Ordinary People Society","Criminal Justice Reform","$150,000","6/2019"
"Sinergia Animal — Southeast Asia Animal Welfare","Sinergia Animal","Farm Animal Welfare","$187,600","6/2019"
"Animals Australia Federation — Pig Welfare in Indonesia ","Animals Australia Federation","Farm Animal Welfare","$48,324","6/2019"
"Penn State University — Emergency Food Research (Charles Anderson)","Penn State University","Scientific Research","$109,063","6/2019"
"UC Berkeley — Aging Research (Irina Conboy) (2019)","UC Berkeley","Scientific Research","$304,000","6/2019"
"Prison Policy Initiative — General Support (2019)","Prison Policy Initiative","Criminal Justice Reform","$300,000","6/2019"
"Federation of Indian Animal Protection Organisations — India Farm Animal Welfare (2019)","Federation of Indian Animal Protection Organisations","Farm Animal Welfare","$445,000","6/2019"
"Citizen Action of New York — Public Education and Engagement ","Citizen Action of New York","Criminal Justice Reform","$200,000","5/2019"
"Prism — Criminal Justice Vertical","Prism","Criminal Justice Reform","$300,000","5/2019"
"Global Catastrophic Risks Scholarships — Scholarship Support (2019)","Global Catastrophic Risks Scholarships","Global Catastrophic Risks","$437,800","5/2019"
"Law for Black Lives — Criminal Justice Reform","Law for Black Lives","Criminal Justice Reform","$150,000","5/2019"
"LatinoJustice — Texas Office for Latinx Engagement","LatinoJustice","Criminal Justice Reform","$250,000","5/2019"
"Asia Research & Engagement — Farm Animal Welfare","Asia Research & Engagement","Farm Animal Welfare","$340,875","5/2019"
"Movement Voter Project — Criminal Justice Reform","Movement Voter Project","Criminal Justice Reform","$100,000","5/2019"
"Just Media — Communications Training","Just Media","Criminal Justice Reform","$15,000","5/2019"
"Altruistic Technology Labs —  Work on Biological Risk Prevention","Altruistic Technology Labs","Biosecurity and Pandemic Preparedness","$440,525","5/2019"
"Open Phil AI Fellowship — 2019 Class","Open Phil AI Fellowship","Potential Risks from Advanced Artificial Intelligence","$2,325,000","5/2019"
"Alliance for Safety and Justice — General Support (2019)","Alliance for Safety and Justice","Criminal Justice Reform","$15,000","5/2019"
"The Greenfield Project — General Support (2019)","The Greenfield Project","Farm Animal Welfare","$250,000","5/2019"
"International Refugee Assistance Project — Family Reunification","International Refugee Assistance Project ","Immigration Policy","$75,000","5/2019"
"Animal Kingdom Foundation — Corporate Campaigns (May 2019)","Animal Kingdom Foundation","Farm Animal Welfare","$17,000","5/2019"
"Engineers Without Borders USA — Off-Grid Refrigeration Challenge ","Engineers Without Borders USA","Scientific Research","$500,000","5/2019"
"California YIMBY — General Support (2019)","California YIMBY","Land Use Reform","$2,000,000","4/2019"
"Anima — Movement Building","Anima","Farm Animal Welfare","$367,222","4/2019"
"University of California, Los Angeles — Epigenetic Clock Research (Steve Horvath)","University of California, Los Angeles","Scientific Research","$2,368,300","4/2019"
"Life Sciences Research Foundation — Young Investigators (2019)","Life Sciences Research Foundation","Scientific Research","$1,170,000","4/2019"
"Just Liberty— General Support (April 2019)","Just Liberty","Criminal Justice Reform","$100,000","4/2019"
